"Date","Pageviews","Ads"
2015-08-24,4098,TRUE
2015-08-25,2882,TRUE
2015-08-26,2325,TRUE
2015-08-27,2808,TRUE
2015-08-28,2194,TRUE
2015-08-29,1850,TRUE
2015-08-30,2029,TRUE
2015-08-31,2310,TRUE
2015-09-01,2217,TRUE
2015-09-02,2294,TRUE
2015-09-03,2326,TRUE
2015-09-04,2272,TRUE
2015-09-05,1681,TRUE
2015-09-06,1715,TRUE
2015-09-07,2054,TRUE
2015-09-08,2551,TRUE
2015-09-09,2071,TRUE
2015-09-10,1976,TRUE
2015-09-11,1997,TRUE
2015-09-12,1740,TRUE
2015-09-13,1902,TRUE
2015-09-14,2273,TRUE
2015-09-15,1996,TRUE
2015-09-16,2318,TRUE
2015-09-17,2181,TRUE
2015-09-18,1817,TRUE
2015-09-19,2190,TRUE
2015-09-20,2235,TRUE
2015-09-21,1992,TRUE
2015-09-22,1980,TRUE
2015-09-23,1910,TRUE
2015-09-24,1711,TRUE
2015-09-25,1811,TRUE
2015-09-26,2397,TRUE
2015-09-27,2359,TRUE
2015-09-28,2056,TRUE
2015-09-29,2334,TRUE
2015-09-30,2274,TRUE
2015-10-01,1904,TRUE
2015-10-02,18093,TRUE
2015-10-03,4937,TRUE
2015-10-04,2881,TRUE
2015-10-05,11759,TRUE
2015-10-06,4701,TRUE
2015-10-07,2760,TRUE
2015-10-08,2372,TRUE
2015-10-09,1967,TRUE
2015-10-10,1997,TRUE
2015-10-11,1862,TRUE
2015-10-12,2149,TRUE
2015-10-13,2372,TRUE
2015-10-14,2088,TRUE
2015-10-15,1857,TRUE
2015-10-16,1950,TRUE
2015-10-17,1635,TRUE
2015-10-18,1856,TRUE
2015-10-19,1867,TRUE
2015-10-20,1988,TRUE
2015-10-21,1950,TRUE
2015-10-22,1784,TRUE
2015-10-23,1602,TRUE
2015-10-24,1792,TRUE
2015-10-25,1680,TRUE
2015-10-26,2087,TRUE
2015-10-27,2001,TRUE
2015-10-28,1817,TRUE
2015-10-29,1736,TRUE
2015-10-30,1501,TRUE
2015-10-31,1456,TRUE
2015-11-01,1924,TRUE
2015-11-02,2332,TRUE
2015-11-03,2188,TRUE
2015-11-04,2068,TRUE
2015-11-05,1985,TRUE
2015-11-06,1699,TRUE
2015-11-07,1857,TRUE
2015-11-08,1664,TRUE
2015-11-09,1798,TRUE
2015-11-10,1849,TRUE
2015-11-11,1813,TRUE
2015-11-12,1862,TRUE
2015-11-13,1772,TRUE
2015-11-14,1860,TRUE
2015-11-15,2287,TRUE
