ID,Name,Parent.ID,Parent.Name,Total.Transactions,Payment.BTC,Payment.USD.equivalent,Commission.BTC,Commission.USD.equivalent
325,Fentanyl,240,Pain Relief,1621,5687.79,399235,400.49,26669
328,Buprenorphine,240,Pain Relief,1367,2165.45,125819,189.24,10747
327,Morphine,240,Pain Relief,1136,4050.59,159247,310.72,11499
289,Carisoprodol,240,Pain Relief,1134,2143.39,89825,186.06,7424
326,Methadone,240,Pain Relief,890,2056.84,82518,178.48,6909
367,Oxymorphone,240,Pain Relief,913,7545.77,147466,570.18,10485
360,Codeine,240,Pain Relief,797,2934.18,57797,264.63,4853
362,Hydromorphone,240,Pain Relief,190,709.62,43348,50.00,3238
354,Analgesics,240,Pain Relief,85,55.83,5559,4.68,437
372,Tilidine,240,Pain Relief,68,39.53,4195,3.71,390
424,Anesthetic,240,Pain Relief,7,14.14,1120,1.00,78
369,Pethidine,240,Pain Relief,6,4.38,512,.38,42
365,Metamizole,240,Pain Relief,2,1.27,137,.12,13
386,Viagra,241,Viagra etc,6425,9716.14,232603,778.23,17444
379,Kamagra,241,Viagra etc,1192,567.10,45463,42.83,3390
381,Tadalafil,241,Viagra etc,93,98.84,4835,7.60,385
377,Female Viagra,241,Viagra etc,45,20.11,1033,1.19,60
378,Herbal Viagra,241,Viagra etc,24,9.96,1162,.89,99
375,Dapoxetine,241,Viagra etc,2,2.14,260,.19,23
383,Vardenafil,241,Viagra etc,1,1.00,103,.09,10
247,Lock picks,246,Hardware,130,346.81,4716,26.88,340
539,AM-2201,249,Chemicals,11,5.23,675,.53,68
278,Male Masturbation Tools,260,Toys,9,6.51,484,.52,36
277,Silicone,260,Toys,1,24.31,134,1.96,10
262,Vibrators,260,Toys,1,.22,23,.02,2
269,Male Lubes,263,Lubes & Lotions,1,.17,21,.01,1
265,Water-Based Lubes,263,Lubes & Lotions,1,.46,21,.02,1
287,4-FMC,286,FMCs,1,.27,35,.03,3
300,Creative,298,Writing,45,1.65,84,.14,6
301,Professional,298,Writing,2,.91,117,.09,12
299,Academic,298,Writing,1,.20,25,.02,2
304,DOM,303,DOx,672,397.91,43257,35.14,3640
124,DOB,303,DOx,945,3162.65,39484,252.75,3110
125,DOC,303,DOx,495,1819.92,38998,141.89,2815
153,DOI,303,DOx,15,53.88,1013,4.43,85
371,Suboxone,328,Buprenorphine,1608,2331.07,163511,184.58,12945
394,Prozac,331,Fluoxetine,45,90.88,2587,8.00,213
430,Weight Loss,334,General Health,926,1115.57,94089,90.21,7372
337,Anticancer,334,General Health,500,805.55,34663,66.81,2729
339,Antidepressant,334,General Health,224,272.65,11405,22.13,904
338,Anticonvulsant,334,General Health,220,245.89,14733,21.72,1258
343,Anti-psychotic,334,General Health,116,174.43,3676,14.79,281
345,Nootropics,334,General Health,91,33.28,3713,2.72,289
340,Antihistamine,334,General Health,111,172.29,5408,14.46,415
425,Anti-dependents,334,General Health,50,52.02,1343,4.80,117
427,Circulatory system,334,General Health,29,55.82,3174,3.44,229
344,Antiviral,334,General Health,22,47.08,2212,3.54,164
341,Anti-inflammatory,334,General Health,14,8.10,861,.65,67
335,Antibiotics,334,General Health,16,4.44,548,.35,43
429,Excretory system,334,General Health,15,6.18,644,.45,44
428,Digestive system,334,General Health,3,.42,55,.03,4
426,Anti-diabetic,334,General Health,1,.44,57,.03,4
